D0320,A085,0,0,82,F6532
D0320,B7889,1,33,-82,F6532
D0320,A085,34,34,47,F6495
D0320,A085,34,34,63,F6483
D0320,B2052,40,66,-47,F6495
D0320,B0282,67,96,-63,F6483
D0320,A085,102,102,14,F6540
D0320,A085,102,102,53,F6491
D0320,A085,102,102,68,F6524
D0320,B8812,107,123,-14,F6540
D0320,B1089,128,155,-53,F6491
D0320,B6753,156,186,-68,F6524
D0320,S241,202,211,2,E2089
D0320,B8907,213,222,-2,E2089
D0320,S267,225,227,1,E2316
D0320,B5488,438,446,-1,E2316
D0320,S001,553,553,4,E0006
D0320,B3341,558,569,-4,E0006
D0320,S016,570,570,2,E0234
D0320,B3341,571,580,-2,E0234
D0320,S011,581,581,1,E0094
D0320,B1548,708,716,-1,E0094
D0321,A099,0,0,13,F7392
D0321,B2586,4,20,-13,F7392
D0321,A099,24,24,11,F7493
D0321,A099,24,24,16,F7361
D0321,A099,24,24,56,F7451
D0321,A099,24,24,57,F7354
D0321,B7053,94,109,-11,F7493
D0321,B1300,115,132,-16,F7361
D0321,B4951,136,163,-56,F7451
D0321,B0904,165,193,-57,F7354
D0321,S639,194,218,1,E4718
D0321,B4951,220,228,-1,E4718
D0321,S643,228,250,1,E4792
D0321,B6714,465,473,-1,E4792
D0321,S489,480,480,6,E3493
D0321,B3745,484,496,-6,E3493
D0321,S494,507,508,1,E3545
D0321,B6817,513,521,-1,E3545
D0321,S531,545,546,2,E3801
D0321,B1219,553,562,-2,E3801
D0321,S522,570,572,2,E3756
D0321,B6513,574,583,-2,E3756
D0321,S525,590,592,3,E3788
D0321,B0674,596,606,-3,E3788
D0321,S532,617,627,3,E3811
D0321,B3227,628,638,-3,E3811
D0322,A079,0,0,49,F6227
D0322,B8388,1,27,-49,F6227
D0322,A079,28,28,22,F6198
D0322,A079,28,28,88,F6214
D0322,A079,28,28,13,F6212
D0322,B4243,35,54,-22,F6198
D0322,B6746,57,90,-88,F6214
D0322,B6412,93,109,-13,F6212
D0322,A079,117,117,11,F6196
D0322,A079,117,117,22,F6171
D0322,A079,117,117,56,F6192
D0322,A079,117,117,24,F6180
D0322,A079,117,117,21,F6217
D0322,B4205,135,150,-11,F6196
D0322,B1546,152,171,-22,F6171
D0322,B3724,174,201,-56,F6192
D0322,B2679,203,223,-24,F6180
D0322,B7293,224,243,-21,F6217
D0288,A006,0,0,58,F0203
D0288,B0025,2,30,-58,F0203
D0288,A006,32,32,21,F0206
D0288,A006,32,32,46,F0293
D0288,A006,32,32,58,F0278
D0288,B0333,42,61,-21,F0206
D0288,B7168,63,88,-46,F0293
D0288,B6180,90,118,-58,F0278
D0288,S326,184,240,2,E2552
D0288,B1406,241,250,-2,E2552
D0288,S326,251,251,1,E2560
D0288,B9203,252,260,-1,E2560
D0288,S326,261,266,1,E2555
D0288,B2304,267,275,-1,E2555
D0288,S361,280,282,3,E2787
D0288,B2498,287,297,-3,E2787
D0324,A066,0,0,20,F5237
D0324,A066,0,0,27,F5251
D0324,A066,0,0,18,F5286
D0324,B0127,3,21,-20,F5237
D0324,B1043,25,46,-27,F5251
D0324,B2927,51,69,-18,F5286
D0325,A009,0,0,18,F0522
D0325,A009,0,0,66,F0539
D0325,B0393,1,19,-18,F0522
D0325,B2109,22,51,-66,F0539
D0325,A009,54,54,48,F0599
D0325,A009,54,54,11,F0581
D0325,A009,54,54,81,F0529
D0325,B7390,65,91,-48,F0599
D0325,B6246,94,109,-11,F0581
D0325,B1213,112,144,-81,F0529
D0325,S016,177,218,1,E0293
D0325,B0064,219,227,-1,E0293
D0325,S011,227,227,2,E0112
D0325,B6315,229,238,-2,E0112
D0325,S045,239,239,1,E0890
D0325,B3009,340,348,-1,E0890
D0325,S144,360,374,4,E1612
D0325,B2509,383,394,-4,E1612
D0325,S211,403,404,1,E1928
D0325,B3888,405,413,-1,E1928
D0325,S208,430,431,18,E1903
D0325,B0745,432,450,-18,E1903
D0325,S188,465,479,3,E1784
D0325,B2509,487,497,-3,E1784
D0325,S174,509,509,23,E1737
D0325,B3925,514,533,-23,E1737
D0325,S150,539,541,2,E1621
D0325,B0172,545,554,-2,E1621
D0325,S181,562,562,14,E1767
D0325,B4753,564,580,-14,E1767
D0325,S160,587,589,1,E1664
D0325,B8974,595,603,-1,E1664
D0325,S212,607,611,1,E1946
D0325,B6620,615,623,-1,E1946
D0326,A012,0,0,14,F0766
D0326,A012,0,0,7,F0816
D0326,A012,0,0,19,F0745
D0326,A012,0,0,16,F0747
D0326,A012,0,0,41,F0678
D0326,A012,0,0,18,F0759
D0326,A012,0,0,9,F0705
D0326,A012,0,0,8,F0752
D0326,B5843,5,21,-14,F0766
D0326,B8463,24,37,-7,F0816
D0326,B4142,39,57,-19,F0745
D0326,B4368,59,76,-16,F0747
D0326,B0381,79,103,-41,F0678
D0326,B5247,109,127,-18,F0759
D0326,B1727,129,143,-9,F0705
D0326,B4810,148,161,-8,F0752
D0326,A012,168,168,38,F0769
D0326,A012,168,168,15,F0828
D0326,A012,168,168,31,F0735
D0326,A012,168,168,10,F0697
D0326,A012,168,168,26,F0723
D0326,A012,168,168,14,F0721
D0326,B5986,193,216,-38,F0769
D0326,B9152,218,235,-15,F0828
D0326,B3384,236,258,-31,F0735
D0326,B1244,260,274,-10,F0697
D0326,B2798,276,296,-26,F0723
D0326,B2576,298,314,-14,F0721
D0327,A090,0,0,73,F6821
D0327,B5039,1,32,-73,F6821
D0327,A090,33,33,45,F6792
D0327,A090,33,33,58,F6838
D0327,A090,33,33,35,F6823
D0327,B0055,37,62,-45,F6792
D0327,B7016,64,92,-58,F6838
D0327,B5158,93,116,-35,F6823
D0327,A090,120,120,59,F6828
D0327,A090,120,120,38,F6852
D0327,B5632,124,152,-59,F6828
D0327,B8978,154,177,-38,F6852
D0327,A090,182,182,62,F6833
D0327,A090,182,182,53,F6830
D0327,B6162,188,217,-62,F6833
D0327,B5917,219,246,-53,F6830
D0327,A090,252,252,60,F6812
D0327,A090,252,252,65,F6827
D0327,B3130,258,286,-60,F6812
D0327,B5612,287,316,-65,F6827
D0327,A090,323,323,38,F6849
D0327,A090,323,323,93,F6800
D0327,B8550,328,351,-38,F6849
D0327,B1217,354,388,-93,F6800
